cluster,term,beta,standard_error,p_value_two_sided,ci95_low,ci95_high
region,fuel_within_100l,0.07101299266686295,0.00902700694941693,1.0583668462729853e-06,0.0517723828067633,0.0902536025269626
region,fuel_between_100l,0.05309356442936858,0.010673147863578846,0.00016639810950796105,0.030344288265851158,0.075842840592886
region,week_2026-04-13,0.0035304573891588396,0.005983869371942206,0.5639763799346493,-0.009223858264356436,0.016284773042674117
region,week_2026-04-20,0.003677405716750191,0.00836946412287041,0.6666474937126802,-0.014161684784520791,0.021516496218021174
region,week_2026-04-27,0.01709925068266743,0.010402924692437705,0.1210295752555188,-0.0050740584255214854,0.039272559790856344
region,week_2026-05-04,0.015313948148899368,0.013615515226445133,0.2783748176376307,-0.013706835593069315,0.04433473189086805
region,week_2026-05-11,0.029492648611832026,0.007621564673652681,0.00151208270729902,0.01324766805172058,0.045737629171943475
region,week_2026-05-18,0.05185264556250837,0.00826987865304565,1.5010781321624358e-05,0.03422581646563973,0.06947947465937701
region,week_2026-05-25,0.04421279156284821,0.007865686435955681,4.8716949387135536e-05,0.02744747778341478,0.06097810534228164
region,week_2026-06-01,0.05620966131982834,0.009223841943265958,2.0541864773470205e-05,0.03654950760153891,0.07586981503811777
region,week_2026-06-08,0.06326886187951157,0.013211150040559958,0.00023896547602309366,0.03510996212923804,0.09142776162978511
region,week_2026-06-15,0.052514027931312324,0.012974809070429683,0.0010528769446049666,0.02485887703442012,0.08016917882820453
region,week_2026-06-22,0.05826748664719114,0.013441223824061183,0.0005889023542772014,0.029618196235628707,0.08691677705875357
region,week_2026-06-29,0.051429588961336356,0.014323394359317152,0.002676764377472859,0.02089999656329636,0.08195918135937635
region,week_2026-07-06,0.040899621687083276,0.00940347808909695,0.0005720839620720828,0.020856582587396276,0.06094266078677028
region,week_2026-07-13,0.05122738924551858,0.010282716456458292,0.00016402803554805033,0.029310297927280533,0.07314448056375664
region,week_2026-07-20,0.05261639310461308,0.008618534915212242,2.0138082805401617e-05,0.03424642077619289,0.07098636543303327
region,week_2026-07-27,0.023755170844909062,0.008326940391279486,0.012097543141477837,0.006006717532013064,0.041503624157805064
region,week_2026-08-03,0.010544755512761227,0.015286153655219695,0.5008387725500135,-0.02203690974901369,0.04312642077453614
region,week_2026-08-10,-0.008476545610482337,0.015027757800220663,0.58105027366302,-0.04050745314454504,0.023554361923580364
region,week_2026-08-17,-0.013080806232011919,0.015475748018538413,0.41125399617331704,-0.046066582313323216,0.019904969849299382
region,week_2026-08-24,-0.023441179544229366,0.016082338770622498,0.16557544889319412,-0.05771987320841104,0.010837514119952315
region,fines_2025_missing,0.2061973326091013,0.19898348555693843,0.31650163628362044,-0.21792592725513524,0.6303205924733378
region,log1p_fines_2025,0.13045111188935546,0.004933870718751112,5.3500528141724723e-14,0.11993481538802273,0.1409674083906882
region,log1p_car_count,0.08871505165036565,0.02768165194827024,0.0059051337329441966,0.029713007184881172,0.14771709611585013
region,median_car_price_missing,-0.020809284962980717,0.010182321045060458,0.05896035381237622,-0.04251238852721857,0.0008938186012571354
region,log1p_median_car_price,0.012704825810025534,0.004342622963274306,0.010437919466690522,0.003448744068417069,0.021960907551633997
region,gender_M,0.00433249151826334,0.0018579797153800623,0.034059060782930736,0.00037230149825722564,0.008292681538269455
region,gender_missing,0.12648950099379047,0.08999099231472425,0.18022291315303074,-0.06532175867990178,0.3183007606674827
region,age_type_code_A20,-0.009681588378354655,0.010011383519923448,0.34884958894992424,-0.031020347232320115,0.011657170475610806
region,age_type_code_A40,-0.03068541781171217,0.011168216639625476,0.014959259510759724,-0.05448990809295501,-0.006880927530469327
region,age_type_code_A60,-0.043011882101999764,0.01158524534529292,0.002084412621145852,-0.06770524802842287,-0.018318516175576664
region,age_type_code_missing,-0.015181176258186522,0.031755496398804414,0.6394968172855153,-0.08286641462644327,0.052504062110070235
region,kladr_code_2,-0.01285230578098565,0.0012828548015641188,4.876698804044248e-08,-0.015586646064798667,-0.010117965497172634
region,kladr_code_23,-0.0035711259247075164,0.0012161482032409985,0.010211241027497348,-0.00616328445983888,-0.0009789673895761524
region,kladr_code_24,-0.026685618787511193,0.0012549621479784902,1.2959492536734561e-12,-0.029360507287514666,-0.02401073028750772
region,kladr_code_42,-0.004932344927430394,0.0016621101049489437,0.009585839696307474,-0.00847504875529413,-0.001389641099566657
region,kladr_code_47,0.019435780601895956,0.0005623432923720167,1.0234860130810346e-15,0.018237174246921034,0.02063438695687088
region,kladr_code_50,-0.027851285068987253,0.0016584880945017374,3.903530900912414e-11,-0.03138626876432928,-0.024316301373645228
region,kladr_code_52,-0.010123073308957429,0.0017253413137169262,3.0953853846388565e-05,-0.013800551268014877,-0.006445595349899981
region,kladr_code_54,0.028946788311169903,0.0008485491233960357,1.2423130530412401e-15,0.027138148667722278,0.03075542795461753
region,kladr_code_55,0.016715434438631074,0.0016206611623046045,3.322059316568904e-08,0.013261076940730547,0.0201697919365316
region,kladr_code_63,0.02161127720500738,0.0014798273749761597,2.830708728575728e-10,0.01845709981910753,0.024765454590907232
region,kladr_code_66,-0.013474453035908291,0.0008009930974181254,3.808455876033108e-11,-0.01518172940939667,-0.011767176662419911
region,kladr_code_72,-0.014741725972050505,0.0006774535854403257,9.261894673574645e-13,-0.016185684108875126,-0.013297767835225882
region,kladr_code_74,-0.004082803823108163,0.002609954367692735,0.13859111579840344,-0.009645789874058595,0.0014801822278422685
region,kladr_code_77,-0.03940489109104991,0.003060339827723159,1.6407514449856204e-09,-0.04592785102610892,-0.0328819311559909
region,kladr_code_78,0.01192890038224269,0.0005432345167022971,8.113924692282271e-13,0.010771023418485194,0.013086777346000186
